model,file,seed,status,wall_time,error,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F,dataset
AutoEncoder,002_MSL_id_1_Sensor_tr_500_1st_900.csv,2024,success,0.3889293670654297,,0.2848946844896959,0.6938325991189428,0.18930925275407537,0.9059020918724668,0.42856806125094726,1.0,0.9999999999999996,0.5897435897435898,0.9991533864541826,MSL
AutoEncoder,002_MSL_id_1_Sensor_tr_500_1st_900.csv,42,success,0.39073753356933594,,0.2789006699082175,0.6414197036443733,0.1829964721758722,0.8794203525905788,0.42856806125094726,1.0,0.9999999999999996,0.5897435897435898,0.9991533864541826,MSL
AutoEncoder,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,13,success,23.893890619277954,,0.005598342023990952,0.5432890930430843,0.006116234255051685,0.5497998637977177,0.025467218883791526,0.2370654256775253,0.02790373212417158,0.01027114419144772,0.6832570843325241,MITDB
AutoEncoder,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,1337,success,23.81009340286255,,0.00550978230586305,0.5250848181865352,0.006128996562930567,0.5593990541633715,0.02527409967236556,0.2370654256775253,0.02790373212417158,0.01027114419144772,0.6832570843325241,MITDB
AutoEncoder,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,17,success,23.97931408882141,,0.0052935240278499775,0.5299713695636981,0.005816179013336457,0.5313731205956159,0.025451012966739933,0.2370654256775253,0.02790373212417158,0.01027114419144772,0.6897800136787995,MITDB
AutoEncoder,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,2024,success,23.643106698989868,,0.00558958821858823,0.5251423884820812,0.006215075701604997,0.5594728097234929,0.026224333342091764,0.24223776223776225,0.02868411617067046,0.010597695569316262,0.6840449884728029,MITDB
AutoEncoder,027_MITDB_id_9_Medical_tr_25000_1st_52255.csv,42,success,23.777734994888306,,0.005305727439149698,0.5326045495239189,0.005830232768864495,0.5340107984266772,0.02533012289065455,0.2370654256775253,0.02790373212417158,0.01027114419144772,0.6832570843325241,MITDB
AutoEncoder,078_SMD_id_22_Facility_tr_500_1st_326.csv,13,success,0.9518489837646484,,0.048071447062150385,0.5531177044028261,0.06237245063998041,0.5135175322236929,0.15175308824179684,0.4503253796095445,0.08771929824561356,0.03864240479044453,0.6703217682679228,SMD
AutoEncoder,078_SMD_id_22_Facility_tr_500_1st_326.csv,1337,success,0.5942389965057373,,0.04834079845668284,0.5560632941833616,0.06289792133423314,0.5212389412458335,0.1541346474001983,0.46422182468694095,0.08771929824561356,0.04706081016117244,0.6703237095043625,SMD
AutoEncoder,078_SMD_id_22_Facility_tr_500_1st_326.csv,17,success,0.5934627056121826,,0.048471970473330114,0.5590757745495408,0.0629005293872491,0.5049172382359219,0.1546571688797616,0.5026634382566586,0.1001440922190199,0.1550455919876879,0.6728348160777841,SMD
